avganncount,avgdeathsperyear,target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,binnedinc,medianage,medianagemale,medianagefemale,geography,percentmarried,pctnohs18_24,pcths18_24,pctsomecol18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctprivatecoveragealone,pctempprivcoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,pctmarriedhouseholds,birthrate
113.0,36,121.4,413.3,54721,16252,12.7,0.0,"(54545.6, 61494.5]",54.4,54.0,54.6,"San Juan County, Washington",56.8,17.7,32.4,,5.2,17.2,26.2,54.6,5.9,67.2,,27.9,41.6,18.3,92.57332665,0.651792429,1.428929556,2.2374028580000003,50.0389206,4.586129754
740.0,269,172.7,499.3,51395,121846,15.7,837.1222691,"(51046.4, 54545.6]",41.0,40.0,42.2,"Skagit County, Washington",53.6,25.5,33.8,37.6,3.1,26.7,15.9,,8.2,64.4,,38.0,38.1,20.2,85.59027341,0.8060799540000001,1.887835902,6.226590582999999,52.93732685,5.818153266
55.0,26,188.3,398.9,52673,11339,12.6,0.0,"(51046.4, 54545.6]",45.2,44.9,45.5,"Skamania County, Washington",54.4,20.0,43.8,,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.8449702040000001,0.978386552,0.773814818,52.94771969,4.805591962
3438.0,1118,165.3,493.4,71890,772501,9.9,138.51114760000002,"(61494.5, 125635]",37.6,36.6,38.7,"Snohomish County, Washington",52.1,15.4,33.3,,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.2527198040000003,52.72049671,4.729251068
2265.0,901,171.0,440.7,50083,490945,16.3,462.37358560000007,"(48021.6, 51046.4]",37.2,35.7,38.7,"Spokane County, Washington",49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,89.03816718,1.8270414609999999,2.315985625,1.03362505,48.18837711,5.355835918
251.0,106,174.2,423.8,43823,43791,19.3,0.0,"(42724.4, 45201]",46.2,45.6,46.8,"Stevens County, Washington",57.2,25.1,35.3,,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889,3.631082062
1390.0,483,169.9,495.9,61653,269536,11.9,207.7644545,"(61494.5, 125635]",38.5,37.1,39.9,"Thurston County, Washington",52.4,14.8,31.7,46.2,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,82.58622199,2.8398731739999996,5.83580425,1.226386727,50.87449211,5.180155167
32.0,12,153.8,463.2,51022,4042,13.9,0.0,"(48021.6, 51046.4]",52.1,51.5,53.1,"Wahkiakum County, Washington",53.5,37.2,20.8,37.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,92.96158612,0.123915737,1.1400247829999999,0.0,53.37995338,0.535475234
305.0,120,162.8,442.5,49819,60338,15.7,464.05250419999993,"(48021.6, 51046.4]",36.9,35.5,39.1,"Walla Walla County, Washington",46.5,13.7,29.2,,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40.0,38.0,18.8,86.23882396,1.649198004,1.617386063,5.63573653,49.327064899999996,4.138710893
1081.0,367,163.3,490.9,53733,212284,15.7,249.66554240000002,"(51046.4, 54545.6]",36.5,35.6,37.5,"Whatcom County, Washington",47.5,9.4,22.1,,7.7,23.0,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,85.4703042,0.880733945,3.925156929,2.4258812169999997,48.06875024,4.4729858
134.0,50,140.8,390.5,41837,48177,28.4,0.0,"(40362.7, 42724.4]",24.2,24.4,23.9,"Whitman County, Washington",36.1,1.2,16.4,,10.3,17.4,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,83.58260051,2.1546098380000003,7.614951751,1.61542247,40.55405483,3.3041590339999996
958.0,403,169.4,411.0,44342,248830,20.5,301.4106016,"(42724.4, 45201]",32.5,31.6,33.6,"Yakima County, Washington",48.6,28.7,39.3,,3.0,27.8,9.8,56.0,9.0,54.6,42.3,30.8,35.7,22.4,78.02051672,0.8427375020000001,1.089697989,12.95026838,50.66898414,6.560611666000001
94.0,41,189.7,445.2,35615,16704,21.5,0.0,"(34218.1, 37413.8]",41.5,40.9,42.1,"Barbour County, West Virginia",52.0,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9.0,55.6,40.1,36.5,44.8,26.4,96.84418146,0.836770068,0.37654653,0.029884645,55.28885946,2.292860865
499.0,215,206.1,463.1,56737,111901,13.2,89.3647063,"(54545.6, 61494.5]",38.4,38.0,38.6,"Berkeley County, West Virginia",51.8,17.0,40.8,32.2,10.0,38.2,12.7,58.7,9.7,70.0,,49.7,33.1,17.3,87.80122144,7.333247489,1.052205585,0.905963725,51.52350516,4.8724681169999995
152.0,70,236.7,501.8,37625,23372,22.1,0.0,"(37413.8, 40362.7]",41.9,41.2,43.2,"Boone County, West Virginia",55.2,21.3,42.9,,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,98.3125,0.675,0.091666667,0.12916666699999999,53.06378967,4.220287661
80.0,40,196.3,396.6,33817,14415,22.2,0.0,"[22640, 34218.1]",44.5,43.7,45.3,"Braxton County, West Virginia",52.4,32.6,46.2,,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,97.91234619,0.497718789,0.0,0.0,53.27269485,5.469020422000001
164.0,69,186.2,481.6,43572,23350,15.1,0.0,"(42724.4, 45201]",45.9,44.1,48.0,"Brooke County, West Virginia",50.3,11.1,30.6,,3.8,43.7,11.0,51.9,6.4,68.3,49.5,46.4,39.7,19.4,96.81808578,1.745193323,0.515529263,0.063384745,47.58723829,4.970530452
564.0,237,194.0,483.4,34887,96844,21.9,330.4283177,"(34218.1, 37413.8]",38.5,36.9,39.9,"Cabell County, West Virginia",43.0,9.7,28.2,,11.5,31.9,14.8,50.3,6.8,63.3,48.2,44.4,39.0,21.7,91.06936297,4.818020326,1.189787656,0.228249194,40.76501639,4.521925134
50.0,25,226.5,459.9,32162,7470,21.8,0.0,"[22640, 34218.1]",47.0,47.6,46.5,"Calhoun County, West Virginia",55.7,11.6,31.4,,0.0,48.9,7.6,39.9,18.1,52.4,36.5,35.1,46.0,25.2,98.25327511,0.09262935,0.052931057000000004,0.026465528999999998,53.33333333,4.7801147230000005
70.0,26,212.9,591.0,32961,8910,25.1,4938.271605,"[22640, 34218.1]",43.3,43.4,43.3,"Clay County, West Virginia",55.8,19.5,51.1,,0.0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52.0,32.5,98.04178974,0.0,0.0,0.043758889,58.09248555,8.753056235
25.0,19,185.6,234.0,41838,8176,17.4,0.0,"(40362.7, 42724.4]",43.7,41.8,45.5,"Doddridge County, West Virginia",45.8,26.2,61.7,10.1,1.9,44.3,8.8,41.0,6.5,55.2,37.7,35.5,45.2,25.4,96.67113767,1.085233508,0.085355444,0.0,53.92670157,6.016466117999999
280.0,137,217.0,457.0,36739,44997,21.4,0.0,"(34218.1, 37413.8]",43.2,42.0,45.1,"Fayette County, West Virginia",50.9,17.3,49.3,,4.4,44.4,8.4,42.6,9.2,53.4,36.1,34.0,47.8,27.8,93.37637809,5.160978609,0.103219572,0.23059691699999998,49.88397759,6.526136485
45.0,21,209.9,463.1,32705,8518,28.9,0.0,"[22640, 34218.1]",38.4,37.4,41.2,"Gilmer County, West Virginia",43.2,7.8,29.4,,3.9,36.6,9.8,37.1,9.4,61.3,,41.2,39.0,18.8,81.55946321,10.89773253,0.32392410899999996,1.353540028,52.58746356,2.328431373
58.0,22,128.0,356.3,41039,11766,17.0,0.0,"(40362.7, 42724.4]",45.6,45.5,45.7,"Grant County, West Virginia",50.5,16.3,41.5,33.8,8.4,50.2,7.0,51.3,6.7,65.1,48.0,44.5,42.4,21.2,97.37621667,1.379602201,0.0,0.11002962300000001,55.4011976,3.528435035
250.0,103,195.1,494.9,36996,35516,21.1,0.0,"(34218.1, 37413.8]",45.3,44.6,46.7,"Greenbrier County, West Virginia",52.2,22.4,36.6,27.8,13.3,44.0,11.2,48.2,7.2,61.9,43.3,39.1,43.0,22.1,94.14288118,2.299108395,0.38692312,0.42617619,47.48027903,4.354354354
145.0,66,212.1,475.1,35980,23353,21.2,0.0,"(34218.1, 37413.8]",44.6,44.0,45.1,"Hampshire County, West Virginia",38.7,21.5,47.4,,5.3,50.0,6.9,46.0,8.1,50.5,38.2,35.6,44.7,31.1,97.15827033,1.422988701,0.03398182,0.097697732,33.68648224,2.28320067
218.0,85,184.1,495.0,48178,29815,12.9,0.0,"(48021.6, 51046.4]",45.6,44.1,47.9,"Hancock County, West Virginia",51.8,20.0,23.8,,14.8,42.8,12.6,53.2,7.2,69.5,50.3,46.7,37.6,17.1,95.71537366,2.238336479,0.248336148,0.0,48.44113541,5.693029274
68.0,29,153.0,374.9,41010,13852,15.3,0.0,"(40362.7, 42724.4]",44.5,44.2,45.0,"Hardy County, West Virginia",50.1,24.9,54.2,,3.9,47.7,9.3,53.7,7.9,65.8,,46.9,38.2,19.1,94.69001148,4.355625718,0.46641791,0.215269805,51.41582622,2.955003358
449.0,192,206.7,506.6,42121,68714,13.9,160.0838257,"(40362.7, 42724.4]",42.0,40.5,43.5,"Harrison County, West Virginia",52.4,17.7,38.6,34.2,9.5,39.5,13.5,53.0,7.4,64.0,47.3,44.0,39.5,21.3,95.67378765,1.820342619,0.526102206,0.15507695900000001,49.69820377,5.060383303
182.0,78,194.2,475.8,41121,29237,16.7,0.0,"(40362.7, 42724.4]",42.6,41.2,44.1,"Jackson County, West Virginia",54.5,13.7,41.2,35.9,9.2,41.1,11.7,46.8,6.8,66.9,48.8,45.6,40.6,21.3,97.40224228,0.66311184,0.201668034,0.061525841,55.45062062,4.735242361
245.0,101,178.2,423.7,66950,56482,10.2,0.0,"(61494.5, 125635]",39.7,39.9,39.3,"Jefferson County, West Virginia",53.3,14.1,24.5,55.3,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,88.24211251,6.96562466,1.6227768319999998,0.56688521,54.09965078,4.995519713
1285.0,539,205.4,508.7,43936,188332,16.8,191.1517958,"(42724.4, 45201]",42.8,40.9,44.3,"Kanawha County, West Virginia",47.9,20.4,33.0,,7.6,37.3,14.7,54.1,7.0,66.0,48.6,45.4,39.4,20.4,88.72214738,4.4758125810000005,1.100738543,0.18922219699999998,43.74346505,4.091266719
124.0,50,218.4,553.0,40568,16448,20.0,0.0,"(40362.7, 42724.4]",43.3,42.2,44.7,"Lewis County, West Virginia",50.6,15.6,41.8,,9.8,49.7,9.3,47.1,7.2,56.4,39.4,35.5,46.8,26.9,97.80941949999999,0.535475234,0.261652671,0.0,49.87741342,4.374100718999999
139.0,60,226.9,513.2,34295,21415,24.4,46.69624095,"(34218.1, 37413.8]",41.9,41.4,42.8,"Lincoln County, West Virginia",50.6,16.9,50.7,27.2,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,98.32560297,0.477736549,0.269016698,0.0,52.9271954,2.635983264
245.0,113,240.1,523.9,36437,34707,20.2,28.81263146,"(34218.1, 37413.8]",42.6,41.5,44.1,"Logan County, West Virginia",53.1,15.0,45.9,,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,96.44574944,2.192393736,0.363534676,0.164988814,52.33924375,4.195713917
137.0,70,234.8,457.1,24707,19835,34.9,0.0,"[22640, 34218.1]",44.1,41.5,46.5,"McDowell County, West Virginia",46.0,32.3,51.6,,3.1,43.9,3.2,27.0,13.3,39.7,24.3,23.4,58.5,37.7,89.35679262,9.157773291,0.0,0.572060379,44.26650367,3.860072376
373.0,144,188.8,510.9,43729,56925,17.9,0.0,"(42724.4, 45201]",41.1,39.7,42.7,"Marion County, West Virginia",51.0,11.2,34.4,,5.4,40.9,14.5,,4.9,67.6,,48.5,35.7,18.3,93.95492164,3.62211657,0.515935904,0.0,49.46399182,5.113459745
208.0,87,184.6,456.3,43356,31978,15.2,0.0,"(42724.4, 45201]",44.3,42.9,46.5,"Marshall County, West Virginia",57.7,8.5,45.9,,9.2,45.1,11.4,50.9,7.0,70.3,50.4,47.8,37.5,17.0,97.66625616,0.858990148,0.406403941,0.172413793,55.3172673,3.174132305
168.0,78,209.5,463.4,35799,27037,20.6,1146.576913,"(34218.1, 37413.8]",43.0,42.3,44.1,"Mason County, West Virginia",51.6,23.1,42.5,,3.3,47.5,7.8,41.2,10.3,59.6,41.6,39.0,47.6,26.6,97.86584244,0.724877654,0.058873312000000004,0.099348714,50.71046319,3.66910141
418.0,184,210.0,493.8,35046,61164,20.5,81.74743313,"(34218.1, 37413.8]",42.3,40.6,43.7,"Mercer County, West Virginia",50.6,14.0,37.3,,6.1,37.9,12.5,46.6,5.1,56.4,,35.9,48.2,27.1,91.14249245,5.857071303,0.654376242,0.17773181899999999,48.3713803,4.807972069
170.0,76,198.4,456.6,40012,27451,16.1,0.0,"(37413.8, 40362.7]",43.2,42.1,44.4,"Mineral County, West Virginia",44.2,9.5,48.4,37.3,4.8,50.2,8.5,47.0,8.8,58.6,45.1,41.6,39.4,23.3,94.81534859,3.1453792110000003,0.299045217,0.169338858,42.97381269,7.391231312
163.0,76,240.8,507.0,29839,25292,28.1,0.0,"[22640, 34218.1]",41.7,40.4,42.7,"Mingo County, West Virginia",55.6,17.2,47.3,,0.6,41.0,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,96.08962246,1.415294435,0.408777139,0.327792989,52.14865363,2.796024928
382.0,132,155.9,444.5,43835,104236,22.5,95.9361449,"(42724.4, 45201]",30.0,28.5,31.3,"Monongalia County, West Virginia",37.2,3.5,23.8,58.2,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,12.4,90.57717276,3.597002007,3.1504504860000004,0.35311012299999994,40.42122317,4.001671717
86.0,39,190.7,434.6,36351,13506,19.3,0.0,"(34218.1, 37413.8]",46.6,45.4,48.3,"Monroe County, West Virginia",56.8,10.6,42.0,47.0,0.3,49.4,8.7,48.0,7.3,60.5,40.4,36.6,45.2,23.7,97.65619224,0.695009242,0.0,0.0,53.16042597,6.07651913
105.0,52,209.7,425.4,44446,17524,13.0,0.0,"(42724.4, 45201]",46.1,45.8,46.6,"Morgan County, West Virginia",47.7,13.3,53.1,,7.6,41.2,11.1,49.3,12.3,63.7,,38.4,38.4,17.3,97.35622318,0.7725321890000001,0.417739628,0.0,45.14153511,4.090035685
160.0,72,199.8,455.5,36375,25594,19.6,0.0,"(34218.1, 37413.8]",43.4,42.3,44.7,"Nicholas County, West Virginia",57.9,14.7,44.2,,1.3,48.0,8.2,46.5,8.4,61.6,,42.2,44.1,23.5,99.32896259,0.034708831,0.20825298899999997,0.0,55.74302401,3.346456693
308.0,123,184.4,500.9,40195,43066,18.4,301.8622579,"(37413.8, 40362.7]",43.3,41.3,45.1,"Ohio County, West Virginia",45.2,8.9,26.7,,8.1,34.5,18.7,56.0,5.5,70.9,,47.9,36.2,16.8,93.13655843,4.152439444,0.850195935,0.288745789,42.92698827,3.2572266439999997
45.0,19,139.8,381.8,38204,7229,16.7,0.0,"(37413.8, 40362.7]",49.1,47.4,50.3,"Pendleton County, West Virginia",55.3,25.9,41.3,,3.6,46.0,7.3,45.4,4.9,59.8,41.0,31.0,45.3,24.1,95.9605512,2.7289921639999997,0.040529587,0.108078898,54.86268174,7.611940299
45.0,21,213.3,458.9,44801,7674,16.5,0.0,"(42724.4, 45201]",43.6,42.0,45.6,"Pleasants County, West Virginia",55.0,9.0,47.1,,4.3,50.1,7.3,45.6,8.2,71.6,53.8,51.8,36.8,17.7,97.14510215,0.275013096,0.0,0.0,56.79225717,2.966381015
50.0,23,176.8,384.8,34341,8607,17.6,0.0,"(34218.1, 37413.8]",48.4,47.9,49.0,"Pocahontas County, West Virginia",56.4,10.0,54.9,27.1,8.0,47.4,10.0,50.7,5.7,60.0,40.0,37.8,44.9,23.0,96.75750259,1.483270093,0.0,0.0,53.27803051,4.256631709
183.0,73,169.8,435.3,41420,33940,17.6,0.0,"(40362.7, 42724.4]",42.3,40.4,43.5,"Preston County, West Virginia",53.3,18.0,44.6,31.4,5.9,46.4,9.0,49.5,7.0,63.5,46.8,43.8,39.3,21.1,94.16427578,3.9723150639999996,0.156762992,0.328314946,56.80724824,4.038301415
328.0,114,171.5,497.2,59472,56848,10.0,211.0892204,"(54545.6, 61494.5]",41.0,40.4,41.6,"Putnam County, West Virginia",57.4,7.7,43.6,43.0,5.8,37.8,14.8,57.7,3.7,73.6,59.4,55.3,31.2,15.8,96.62520319,1.500106015,0.33924659,0.169623295,58.72299258,6.034482758999999
482.0,206,198.2,469.6,40270,77510,17.7,12.90156109,"(37413.8, 40362.7]",41.6,40.0,43.4,"Raleigh County, West Virginia",51.3,11.9,41.1,,8.3,39.5,12.0,45.5,6.6,60.6,36.8,33.6,44.6,24.0,88.30214159,8.28099321,1.188641025,0.52488757,49.67065294,3.77850558
161.0,68,168.6,405.2,37468,29126,20.8,0.0,"(37413.8, 40362.7]",43.2,41.7,45.1,"Randolph County, West Virginia",52.2,24.3,35.7,,7.6,46.3,10.6,48.7,6.7,59.6,43.1,40.5,43.3,23.4,96.90447812,1.924059254,0.17708156,0.08854078,51.97613076,4.231027535
72.0,32,214.7,502.0,46383,9982,17.7,0.0,"(45201, 48021.6]",45.2,45.1,45.3,"Ritchie County, West Virginia",49.5,23.1,38.0,,0.3,47.9,6.3,44.8,10.6,57.4,38.9,37.0,46.9,24.3,98.234714,0.473372781,0.0,0.029585799,49.74632166,6.267539757000001
89.0,41,204.0,449.2,33041,14435,23.1,0.0,"[22640, 34218.1]",44.2,43.2,45.0,"Roane County, West Virginia",53.9,26.0,45.8,,10.0,46.5,8.2,41.3,8.9,51.6,36.0,32.9,51.8,32.6,97.9365947,0.020497404,0.12981689,0.204974037,52.19686649,2.353331124
76.0,36,170.4,377.1,32456,13239,25.8,0.0,"[22640, 34218.1]",46.3,46.9,46.0,"Summers County, West Virginia",53.5,20.0,46.2,,8.4,40.5,7.6,42.2,10.0,60.2,38.7,35.2,49.6,24.7,93.04489073,5.06497342,0.147666864,0.191966923,50.44770774,3.8126688680000003
87.0,39,172.2,400.9,40305,16912,16.8,0.0,"(37413.8, 40362.7]",43.0,41.6,44.5,"Taylor County, West Virginia",52.3,9.2,44.6,,5.0,43.6,11.7,48.9,9.5,63.7,45.9,43.9,42.6,20.6,97.26100018,0.948341874,0.960122519,0.035341933,52.0647653,6.801152738
56.0,19,168.1,528.4,36466,6966,17.1,0.0,"(34218.1, 37413.8]",47.7,47.0,48.4,"Tucker County, West Virginia",60.5,7.0,50.6,,0.0,52.7,7.1,51.7,7.6,68.0,,46.1,39.3,17.9,98.16408491,0.22948938600000002,0.602409639,0.0,56.87707641,3.868613139
61.0,27,199.1,468.3,41019,8975,15.8,0.0,"(40362.7, 42724.4]",46.2,45.6,46.9,"Tyler County, West Virginia",53.5,19.0,44.1,,6.3,49.2,7.2,44.1,10.9,62.3,41.7,38.9,43.0,19.8,98.73796081,0.166057788,0.0,0.022141038,52.40597345,1.988950276
142.0,60,189.5,453.7,38387,24758,19.7,0.0,"(37413.8, 40362.7]",41.8,41.2,42.5,"Upshur County, West Virginia",51.5,9.1,39.1,,6.1,48.4,9.3,48.2,8.0,59.7,45.0,41.3,40.2,23.3,97.41449511,1.099348534,0.23615635199999999,0.052931596,53.55768173,5.300938708
236.0,102,183.8,433.2,37242,40971,20.0,24.40750775,"(34218.1, 37413.8]",42.5,41.3,43.5,"Wayne County, West Virginia",48.9,13.4,43.3,,3.2,40.9,7.5,43.3,9.9,54.6,39.7,37.0,45.6,27.1,97.9300706,0.361454493,0.132533314,0.214462999,47.52860823,4.112005292
65.0,33,259.5,511.9,29331,8755,26.1,114.22044550000001,"[22640, 34218.1]",46.3,45.5,46.6,"Webster County, West Virginia",54.1,10.4,54.6,32.3,2.8,43.0,5.3,40.2,14.8,45.1,31.2,28.2,53.3,35.4,97.98364512,0.123221687,0.369665061,0.0,48.72652431,4.203539823
120.0,50,202.6,514.6,40013,15816,18.5,0.0,"(37413.8, 40362.7]",46.0,44.6,47.2,"Wetzel County, West Virginia",51.4,19.8,52.5,,3.2,48.7,6.0,41.7,8.1,63.5,42.7,39.7,44.6,21.3,98.44030451,0.117596088,0.470384354,0.0,51.70881226,6.161137441
35.0,14,185.8,455.3,38600,5880,20.3,0.0,"(37413.8, 40362.7]",45.0,45.4,44.0,"Wirt County, West Virginia",52.2,21.1,31.6,,2.3,47.6,7.8,47.9,8.4,61.6,46.7,44.0,41.4,23.5,97.41482623,0.8388974490000001,0.0,0.11984249300000001,51.76954733,5.9689288629999995
554.0,217,185.5,488.8,41932,86452,17.2,173.5066858,"(40362.7, 42724.4]",42.5,41.1,44.0,"Wood County, West Virginia",51.1,15.8,36.5,,4.2,38.1,12.2,52.4,8.6,63.0,,42.2,42.0,22.7,96.18988205,1.059393015,0.6076779999999999,0.251851338,47.88351017,6.23870268
134.0,69,235.4,447.8,34419,22151,22.8,0.0,"(34218.1, 37413.8]",42.8,41.5,44.2,"Wyoming County, West Virginia",55.7,23.3,33.7,,3.6,46.0,4.5,34.6,10.1,54.6,38.3,36.7,49.9,28.7,97.72588122,0.7828216570000001,0.0,0.126825855,54.03848244,6.018614271000001
164.0,73,206.0,467.9,42063,20148,17.8,0.0,"(40362.7, 42724.4]",51.4,49.7,53.3,"Adams County, Wisconsin",50.9,21.5,44.6,,3.3,43.7,8.5,42.2,10.1,63.9,38.9,34.1,50.8,22.6,93.18859713,3.0511955410000002,0.391178915,0.718791257,54.12278449,3.861129137
90.0,45,217.5,451.5,41294,15843,14.9,0.0,"(40362.7, 42724.4]",42.2,40.8,42.8,"Ashland County, Wisconsin",45.9,8.9,31.3,,6.0,35.0,14.6,58.2,7.9,62.7,46.2,39.4,42.5,23.9,84.96217095,0.525229788,0.518977052,0.17507659600000003,42.79547484,6.460336538
254.0,112,168.4,412.1,46375,45563,13.7,1097.3816470000002,"(45201, 48021.6]",43.9,42.0,45.6,"Barron County, Wisconsin",55.8,15.6,44.4,,3.3,39.8,10.6,60.0,6.0,68.4,50.9,43.2,39.2,19.0,95.66169067,1.2673466709999999,0.474981395,0.709188811,52.64644351,5.884312202
88.0,42,171.7,369.9,44395,14977,13.6,0.0,"(42724.4, 45201]",50.8,50.5,51.1,"Bayfield County, Wisconsin",58.5,14.2,28.8,,4.5,30.2,18.9,54.1,7.2,65.9,,37.2,44.1,21.0,86.37873754,0.664451827,0.445182724,0.252491694,52.79664691,5.547054322999999
1214.0,406,158.6,479.1,54141,258718,12.0,1213.676667,"(51046.4, 54545.6]",36.8,35.7,37.9,"Brown County, Wisconsin",51.4,16.8,28.7,,9.0,31.3,20.0,65.4,6.1,72.5,60.0,54.6,30.0,17.2,86.45045286,2.359873899,3.026496072,2.879666453,49.80425278,5.921762149
71.0,33,166.4,385.7,50998,13192,10.5,151.6070346,"(48021.6, 51046.4]",45.0,45.1,44.9,"Buffalo County, Wisconsin",59.0,14.5,39.0,,5.5,42.5,12.4,64.7,3.7,73.4,56.7,49.3,34.5,16.0,97.49230423,0.473008484,0.090096854,0.848412043,54.08074857,7.17472119
103.0,50,190.1,399.2,41810,15159,16.5,0.0,"(40362.7, 42724.4]",50.9,50.6,51.4,"Burnett County, Wisconsin",59.0,14.7,34.9,,6.8,40.0,11.9,50.3,7.5,64.2,,34.3,48.2,23.7,91.54167209999999,0.482587714,0.41085170200000004,0.254336768,51.08041575,4.96054115
238.0,79,157.9,474.1,68430,49762,5.9,0.0,"(61494.5, 125635]",39.0,38.4,39.8,"Calumet County, Wisconsin",62.0,14.6,27.9,,11.9,33.8,20.6,69.4,3.1,84.1,72.2,66.3,22.4,10.6,94.67772455,0.7790168690000001,2.411530255,0.696485366,62.98229565,4.330985915
